"Wavelength, µm","n","k"
0.3,1.52117187,1.75745923
0.31,1.55066387,1.77006023
0.32,1.57448313,1.77157236
0.33,1.58651334,1.76165111
0.34,1.57792913,1.74447473
0.35,1.54122906,1.73410055
0.36,1.48458734,1.75500201
0.37,1.44874801,1.81581109
0.38,1.4472083,1.86598905
0.39,1.45133103,1.90142308
0.4,1.4562703,1.92579496
0.41,1.4592672,1.94004237
0.42,1.4578263,1.94445417
0.43,1.44922823,1.93923277
0.44,1.43027418,1.92485538
0.45,1.39711019,1.9024862
0.46,1.34514953,1.87459945
0.47,1.26930756,1.84599387
0.48,1.1651759,1.82522604
0.49,1.03220199,1.82558818
0.5,0.878951533,1.86271531
0.51,0.725605139,1.94564467
0.52,0.595288685,2.06714343
0.53,0.49944226,2.20735413
0.54,0.434514736,2.34772327
0.55,0.390294919,2.47897507
0.56,0.358592834,2.59913251
0.57,0.332634207,2.70324901
0.58,0.296316627,2.80014954
0.59,0.254910954,2.90273722
0.6,0.215794167,3.01283998
0.61,0.183483261,3.12792013
0.62,0.159355419,3.24437112
0.63,0.142676662,3.35929359
0.64,0.131807702,3.47101662
0.65,0.125031991,3.57892528
0.66,0.120945112,3.68307596
0.67,0.118546312,3.78385192
0.68,0.117185504,3.88173613
0.69,0.116467391,3.97719174
0.7,0.116162463,4.07061471
0.71,0.116141047,4.16232536
0.72,0.116330301,4.25257702
0.73,0.116688471,4.34156937
0.74,0.117190414,4.42946111
0.75,0.117819832,4.5163802
0.76,0.118565228,4.6024316
0.77,0.119417837,4.68770279
0.78,0.120370566,4.77226776
0.79,0.121417445,4.85618994
0.8,0.122553313,4.93952426
0.81,0.123773643,5.02231878
0.82,0.125074424,5.10461582
0.83,0.126452073,5.18645295
0.84,0.127903383,5.26786371
0.85,0.129425463,5.34887818
0.86,0.131015706,5.42952347
0.87,0.132671752,5.50982415
0.88,0.134391459,5.58980252
0.89,0.136172881,5.66947891
0.9,0.138014246,5.74887194
0.91,0.139913938,5.82799869
0.92,0.141870482,5.90687485
0.93,0.143882529,5.98551493
0.94,0.145948846,6.0639323
0.95,0.148068301,6.14213939
0.96,0.150239859,6.22014772
0.97,0.152462571,6.29796803
0.98,0.154735567,6.37561029
0.99,0.157058047,6.45308387
1,0.159429279,6.53039749
1.01,0.161848591,6.60755933
1.02,0.164315367,6.68457708
1.03,0.166829043,6.76145795
1.04,0.169389103,6.83820875
1.05,0.171995075,6.91483587
1.06,0.174646526,6.99134535
1.07,0.177343064,7.06774291
1.08,0.180084331,7.14403393
1.09,0.182870001,7.22022355
1.1,0.18569978,7.29631659
1.11,0.188573403,7.37231767
1.12,0.191490632,7.44823115
1.13,0.194451252,7.52406119
1.14,0.197455074,7.59981174
1.15,0.200501931,7.67548658
1.16,0.203591675,7.7510893
1.17,0.20672418,7.82662332
1.18,0.209899338,7.90209194
1.19,0.213117057,7.97749828
1.2,0.216377264,8.05284533
1.21,0.219679899,8.12813598
1.22,0.22302492,8.20337297
1.23,0.226412298,8.27855895
1.24,0.229842016,8.35369643
1.25,0.233314071,8.42878786
1.26,0.236828472,8.50383558
1.27,0.240385242,8.57884183
1.28,0.243984411,8.65380878
1.29,0.247626022,8.7287385
1.3,0.251310129,8.80363302
1.31,0.255036794,8.87849425
1.32,0.25880609,8.95332408
1.33,0.262618098,9.0281243
1.34,0.266472909,9.10289665
1.35,0.27037062,9.17764283
1.36,0.27431134,9.25236445
1.37,0.278295182,9.32706309
1.38,0.282322268,9.40174027
1.39,0.28639273,9.47639747
1.4,0.290506702,9.55103612
1.41,0.29466433,9.62565762
1.42,0.298865764,9.70026329
1.43,0.30311116,9.77485445
1.44,0.307400684,9.84943237
1.45,0.311734504,9.92399828
1.46,0.316112796,9.99855337
1.47,0.320535744,10.0730988
1.48,0.325003534,10.1476357
1.49,0.32951636,10.2221652
1.5,0.334074422,10.2966884
1.51,0.338677924,10.3712062
1.52,0.343327077,10.4457198
1.53,0.348022097,10.5202301
1.54,0.352763204,10.5947381
1.55,0.357550625,10.6692446
1.56,0.36238459,10.7437508
1.57,0.367265336,10.8182573
1.58,0.372193105,10.8927652
1.59,0.377168143,10.9672753
1.6,0.3821907,11.0417883
1.61,0.387261034,11.1163052
1.62,0.392379404,11.1908268
1.63,0.397546077,11.2653538
1.64,0.402761323,11.3398869
1.65,0.408025418,11.4144271
1.66,0.41333864,11.4889749
1.67,0.418701274,11.5635311
1.68,0.42411361,11.6380964
1.69,0.429575942,11.7126715
1.7,0.435088567,11.7872571
1.71,0.440651788,11.8618538
1.72,0.446265913,11.9364624
1.73,0.451931255,12.0110834
1.74,0.457648129,12.0857175
1.75,0.463416857,12.1603653
1.76,0.469237765,12.2350273
1.77,0.475111183,12.3097043
1.78,0.481037446,12.3843968
1.79,0.487016894,12.4591054
1.8,0.49304987,12.5338306
1.81,0.499136723,12.6085729
1.82,0.505277806,12.6833331
1.83,0.511473478,12.7581115
1.84,0.5177241,12.8329087
1.85,0.52403004,12.9077252
1.86,0.530391669,12.9825617
1.87,0.536809363,13.0574184
1.88,0.543283504,13.1322961
1.89,0.549814478,13.207195
1.9,0.556402674,13.2821159
1.91,0.563048487,13.357059
1.92,0.569752319,13.4320249
1.93,0.576514573,13.5070141
1.94,0.583335658,13.5820269
1.95,0.59021599,13.657064
1.96,0.597155987,13.7321256
1.97,0.604156073,13.8072123
1.98,0.611216678,13.8823244
1.99,0.618338234,13.9574625
2,0.625521182,14.0326268
