"Wavelength, µm","n","k"
0.3,1.562,1.827
0.31,1.609,1.836
0.32,1.642,1.825
0.33,1.656,1.804
0.34,1.65,1.784
0.35,1.627,1.773
0.36,1.595,1.778
0.37,1.566,1.8
0.38,1.55,1.832
0.39,1.549,1.858
0.4,1.554,1.869
0.41,1.552,1.863
0.42,1.533,1.85
0.43,1.503,1.841
0.44,1.473,1.834
0.45,1.444,1.815
0.46,1.399,1.774
0.47,1.315,1.719
0.48,1.179,1.677
0.49,1.003,1.68
0.5,0.8181,1.745
0.51,0.6582,1.863
0.52,0.5376,2.007
0.53,0.4515,2.155
0.54,0.3897,2.298
0.55,0.3437,2.434
0.56,0.3078,2.563
0.57,0.279,2.685
0.58,0.2553,2.803
0.59,0.2353,2.916
0.6,0.2184,3.026
0.61,0.204,3.133
0.62,0.1916,3.237
0.63,0.1809,3.338
0.64,0.1717,3.438
0.65,0.1638,3.536
0.66,0.157,3.632
0.67,0.1511,3.726
0.68,0.146,3.819
0.69,0.1417,3.911
0.7,0.138,4.002
0.71,0.1348,4.091
0.72,0.1322,4.18
0.73,0.13,4.268
0.74,0.1282,4.354
0.75,0.1268,4.44
0.76,0.1257,4.525
0.77,0.1248,4.61
0.78,0.1243,4.694
0.79,0.1239,4.777
0.8,0.1238,4.859
0.81,0.1239,4.941
0.82,0.1241,5.023
0.83,0.1245,5.104
0.84,0.1251,5.185
0.85,0.1258,5.265
0.86,0.1266,5.345
0.87,0.1275,5.424
0.88,0.1286,5.503
0.89,0.1297,5.582
0.9,0.1309,5.66
0.91,0.1323,5.738
0.92,0.1337,5.816
0.93,0.1351,5.893
0.94,0.1367,5.97
0.95,0.1383,6.047
0.96,0.14,6.124
0.97,0.1417,6.2
0.98,0.1435,6.276
0.99,0.1453,6.352
1,0.1472,6.428
1.01,0.1491,6.504
1.02,0.1511,6.579
1.03,0.1531,6.654
1.04,0.1552,6.729
1.05,0.1573,6.804
1.06,0.1594,6.878
1.07,0.1616,6.953
1.08,0.1638,7.027
1.09,0.166,7.101
1.1,0.1683,7.175
1.11,0.1705,7.249
1.12,0.1729,7.323
1.13,0.1752,7.396
1.14,0.1776,7.47
1.15,0.18,7.543
1.16,0.1824,7.616
1.17,0.1849,7.689
1.18,0.1874,7.762
1.19,0.1899,7.835
1.2,0.1924,7.908
1.21,0.1949,7.981
1.22,0.1975,8.053
1.23,0.2001,8.126
1.24,0.2027,8.198
1.25,0.2053,8.27
1.26,0.2079,8.342
1.27,0.2106,8.414
1.28,0.2133,8.486
1.29,0.216,8.558
1.3,0.2187,8.63
1.31,0.2214,8.702
1.32,0.2241,8.773
1.33,0.2269,8.845
1.34,0.2297,8.916
1.35,0.2325,8.988
1.43,0.2553,9.556
1.44,0.2582,9.627
1.45,0.2611,9.698
1.46,0.2644,9.762
1.47,0.2678,9.825
1.48,0.2712,9.889
1.49,0.2747,9.952
1.5,0.2782,10.01
1.51,0.2818,10.08
1.52,0.2854,10.14
1.53,0.2891,10.2
1.54,0.2928,10.27
1.55,0.2965,10.33
1.56,0.3003,10.39
1.57,0.3042,10.45
1.58,0.3081,10.51
1.59,0.312,10.57
1.6,0.3161,10.64
1.61,0.3201,10.7
1.62,0.3242,10.76
1.63,0.3284,10.82
1.64,0.3326,10.88
1.65,0.3369,10.94
1.66,0.3412,11
1.67,0.3457,11.06
1.68,0.3501,11.12
1.69,0.3546,11.18
1.7,0.3592,11.24
1.71,0.3639,11.3
1.72,0.3686,11.36
1.73,0.3733,11.42
1.74,0.3782,11.48
1.75,0.3831,11.53
1.76,0.3881,11.59
1.77,0.3931,11.65
1.78,0.3982,11.71
1.79,0.4034,11.77
1.8,0.4087,11.83
1.81,0.414,11.88
1.82,0.4194,11.94
1.83,0.4249,12
1.84,0.4305,12.06
1.85,0.4361,12.11
1.86,0.4418,12.17
1.87,0.4476,12.23
1.88,0.4535,12.29
1.89,0.4595,12.34
1.9,0.4655,12.4
1.91,0.4717,12.46
1.92,0.4779,12.51
1.93,0.4842,12.57
1.94,0.4906,12.62
1.95,0.4971,12.68
1.96,0.5037,12.74
1.97,0.5104,12.79
1.98,0.5172,12.85
1.99,0.5241,12.9
2,0.5294,12.95
2.007,0.5345,13
2.019,0.541,13.08
2.025,0.5443,13.13
2.038,0.551,13.21
2.045,0.5544,13.25
2.058,0.5613,13.34
2.064,0.5647,13.38
2.077,0.5718,13.47
2.084,0.5754,13.51
2.098,0.5827,13.6
2.104,0.5864,13.64
2.118,0.5939,13.73
2.125,0.5977,13.78
2.139,0.6054,13.87
2.146,0.6093,13.92
2.153,0.6133,13.96
2.168,0.6213,14.06
2.175,0.6254,14.1
2.19,0.6336,14.2
2.197,0.6378,14.25
2.205,0.6421,14.3
2.22,0.6507,14.4
2.227,0.655,14.45
2.235,0.6594,14.5
2.243,0.6639,14.55
2.258,0.6729,14.65
2.266,0.6775,14.7
2.274,0.6822,14.75
2.282,0.6869,14.8
2.298,0.6964,14.91
2.307,0.7012,14.96
2.315,0.7061,15.02
2.323,0.711,15.07
2.34,0.7211,15.18
2.348,0.7262,15.24
2.357,0.7313,15.29
2.365,0.7365,15.35
2.374,0.7418,15.4
2.383,0.7471,15.46
2.392,0.7525,15.52
2.409,0.7634,15.63
2.418,0.7689,15.69
2.427,0.7745,15.75
2.437,0.7802,15.81
2.446,0.786,15.87
2.455,0.7918,15.93
2.464,0.7976,15.99
2.474,0.8036,16.05
2.483,0.8096,16.11
2.493,0.8156,16.17
2.502,0.8218,16.24
2.512,0.828,16.3
2.522,0.8342,16.36
2.532,0.8406,16.43
2.542,0.847,16.49
2.552,0.8535,16.56
2.562,0.86,16.62
2.572,0.8667,16.69
2.582,0.8734,16.75
2.593,0.8802,16.82
2.603,0.8871,16.89
2.613,0.894,16.96
2.624,0.9011,17.03
2.635,0.9082,17.09
2.645,0.9154,17.16
2.656,0.9227,17.23
2.667,0.9301,17.3
2.678,0.9376,17.38
2.689,0.9451,17.45
2.701,0.9528,17.52
2.712,0.9605,17.59
2.723,0.9683,17.67
2.735,0.9763,17.74
2.746,0.9843,17.82
2.758,0.9924,17.89
2.77,1.001,17.97
2.782,1.009,18.04
2.794,1.017,18.12
2.806,1.026,18.2
2.818,1.035,18.28
2.83,1.043,18.36
2.843,1.052,18.44
2.855,1.061,18.52
2.868,1.07,18.6
2.881,1.08,18.68
2.893,1.089,18.76
2.906,1.098,18.85
2.919,1.108,18.93
2.933,1.118,19.02
2.946,1.128,19.1
2.959,1.138,19.19
2.973,1.148,19.27
2.987,1.158,19.36
3.001,1.168,19.45
3.015,1.179,19.54
3.029,1.189,19.63
3.043,1.2,19.72
