"Wavelength, µm","n","k"
0.3,1.667,1.934
0.31,1.719,1.937
0.32,1.754,1.921
0.33,1.767,1.895
0.34,1.759,1.871
0.35,1.732,1.858
0.36,1.696,1.862
0.37,1.664,1.885
0.38,1.645,1.918
0.39,1.642,1.945
0.4,1.645,1.956
0.41,1.641,1.95
0.42,1.621,1.936
0.43,1.59,1.925
0.44,1.556,1.915
0.45,1.52,1.893
0.46,1.466,1.85
0.47,1.372,1.795
0.48,1.227,1.756
0.49,1.041,1.764
0.5,0.8463,1.836
0.51,0.678,1.962
0.52,0.5507,2.115
0.53,0.46,2.274
0.54,0.3953,2.427
0.55,0.3476,2.573
0.56,0.3111,2.71
0.57,0.2822,2.841
0.58,0.2587,2.966
0.59,0.2392,3.087
0.6,0.2228,3.203
0.61,0.209,3.316
0.62,0.1973,3.426
0.63,0.1874,3.534
0.64,0.1789,3.639
0.65,0.1717,3.742
0.66,0.1656,3.844
0.67,0.1604,3.943
0.68,0.1561,4.042
0.69,0.1524,4.138
0.7,0.1494,4.234
0.71,0.147,4.328
0.72,0.145,4.422
0.73,0.1435,4.514
0.74,0.1424,4.605
0.75,0.1416,4.696
0.76,0.1411,4.786
0.77,0.141,4.875
0.78,0.141,4.963
0.79,0.1414,5.05
0.8,0.1419,5.137
0.81,0.1426,5.224
0.82,0.1435,5.31
0.83,0.1445,5.395
0.84,0.1457,5.48
0.85,0.1471,5.565
0.86,0.1486,5.649
0.87,0.1501,5.732
0.88,0.1518,5.815
0.89,0.1536,5.898
0.9,0.1555,5.981
0.91,0.1575,6.063
0.92,0.1596,6.145
0.93,0.1617,6.227
0.94,0.1639,6.308
0.95,0.1662,6.389
0.96,0.1686,6.47
0.97,0.171,6.55
0.98,0.1734,6.63
0.99,0.176,6.711
1,0.1786,6.79
1.01,0.1812,6.87
1.02,0.1839,6.949
1.03,0.1866,7.029
1.04,0.1894,7.108
1.05,0.1923,7.186
1.06,0.1951,7.265
1.07,0.198,7.344
1.08,0.201,7.422
1.09,0.204,7.5
1.1,0.207,7.578
1.11,0.2101,7.656
1.12,0.2132,7.734
1.13,0.2163,7.811
1.14,0.2195,7.889
1.15,0.2227,7.966
1.16,0.226,8.043
1.17,0.2292,8.121
1.18,0.2325,8.198
1.19,0.2359,8.274
1.2,0.2392,8.351
1.21,0.2426,8.428
1.22,0.2461,8.504
1.23,0.2495,8.581
1.24,0.253,8.657
1.25,0.2565,8.733
1.26,0.26,8.809
1.27,0.2636,8.885
1.28,0.2672,8.961
1.29,0.2708,9.037
1.3,0.2744,9.113
1.31,0.2781,9.189
1.32,0.2813,9.262
1.33,0.2845,9.336
1.34,0.2878,9.41
1.35,0.291,9.483
1.43,0.3214,10.08
1.44,0.3249,10.15
1.45,0.3284,10.23
1.46,0.3319,10.3
1.47,0.3355,10.37
1.48,0.339,10.44
1.49,0.3426,10.51
1.5,0.3462,10.59
1.51,0.3498,10.66
1.52,0.3535,10.73
1.53,0.3571,10.8
1.54,0.3608,10.87
1.55,0.3646,10.94
1.56,0.3683,11.02
1.57,0.3721,11.09
1.58,0.3759,11.16
1.59,0.3797,11.23
1.6,0.3835,11.3
1.61,0.3874,11.37
1.62,0.3913,11.44
1.63,0.3952,11.51
1.64,0.3991,11.58
1.65,0.4031,11.66
1.66,0.4071,11.73
1.67,0.4112,11.8
1.68,0.4152,11.87
1.69,0.4193,11.94
1.7,0.4234,12.01
1.71,0.4276,12.08
1.72,0.4317,12.15
1.73,0.4359,12.22
1.74,0.4402,12.29
1.75,0.4444,12.36
1.76,0.4487,12.43
1.77,0.4531,12.5
1.78,0.4574,12.57
1.79,0.4618,12.64
1.8,0.4663,12.71
1.81,0.4708,12.78
1.82,0.4752,12.85
1.83,0.4798,12.92
1.84,0.4844,12.99
1.85,0.489,13.06
1.86,0.4936,13.13
1.87,0.4983,13.2
1.88,0.503,13.27
1.89,0.5078,13.34
1.9,0.5126,13.41
1.91,0.5175,13.48
1.92,0.5223,13.55
1.93,0.5273,13.62
1.94,0.5322,13.69
1.95,0.5373,13.75
1.96,0.5424,13.82
1.97,0.5474,13.89
1.98,0.5526,13.96
1.99,0.5578,14.03
2,0.5622,14.09
2.007,0.5667,14.15
2.019,0.5736,14.24
2.025,0.5771,14.28
2.038,0.5842,14.38
2.045,0.5878,14.42
2.058,0.5952,14.52
2.064,0.5989,14.56
2.077,0.6064,14.66
2.084,0.6102,14.71
2.098,0.618,14.8
2.104,0.6219,14.85
2.118,0.6299,14.95
2.125,0.6339,15
2.139,0.6421,15.1
2.146,0.6463,15.15
2.153,0.6505,15.2
2.168,0.6591,15.31
2.175,0.6634,15.36
2.19,0.6722,15.46
2.197,0.6767,15.52
2.205,0.6812,15.57
2.22,0.6903,15.68
2.227,0.695,15.73
2.235,0.6997,15.79
2.243,0.7044,15.84
2.258,0.7141,15.95
2.266,0.719,16.01
2.274,0.7239,16.07
2.282,0.7289,16.13
2.298,0.7391,16.24
2.307,0.7442,16.3
2.315,0.7494,16.36
2.323,0.7547,16.42
2.34,0.7654,16.54
2.348,0.7708,16.6
2.357,0.7763,16.66
2.365,0.7819,16.72
2.374,0.7875,16.78
2.383,0.7932,16.84
2.392,0.7989,16.91
2.409,0.8106,17.03
2.418,0.8165,17.1
2.427,0.8225,17.16
2.437,0.8286,17.23
2.446,0.8347,17.29
2.455,0.8409,17.36
2.464,0.8472,17.43
2.474,0.8535,17.49
2.483,0.8599,17.56
2.493,0.8664,17.63
2.502,0.873,17.7
2.512,0.8796,17.77
2.522,0.8863,17.84
2.532,0.8931,17.91
2.542,0.8999,17.98
2.552,0.9069,18.05
2.562,0.9139,18.12
2.572,0.921,18.19
2.582,0.9282,18.26
2.593,0.9355,18.34
2.603,0.9428,18.41
2.613,0.9503,18.49
2.624,0.9578,18.56
2.635,0.9655,18.64
2.645,0.9732,18.71
2.656,0.981,18.79
2.667,0.9889,18.87
2.678,0.9969,18.95
2.689,1.005,19.03
2.701,1.013,19.1
2.712,1.022,19.18
2.723,1.03,19.27
2.735,1.038,19.35
2.746,1.047,19.43
2.758,1.056,19.51
2.77,1.065,19.6
2.782,1.074,19.68
2.794,1.083,19.76
2.806,1.092,19.85
2.818,1.101,19.94
2.83,1.111,20.02
2.843,1.12,20.11
2.855,1.13,20.2
2.868,1.139,20.29
2.881,1.149,20.38
2.893,1.159,20.47
2.906,1.17,20.56
2.919,1.18,20.65
2.933,1.19,20.75
2.946,1.201,20.84
2.959,1.212,20.94
2.973,1.223,21.03
2.987,1.234,21.13
3.001,1.245,21.23
3.015,1.256,21.32
3.029,1.267,21.42
3.043,1.279,21.52
3.057,1.291,21.63
3.072,1.303,21.73
3.086,1.315,21.83
3.101,1.327,21.93
3.116,1.34,22.04
3.131,1.352,22.15
3.146,1.365,22.25
3.162,1.378,22.36
3.177,1.391,22.47
3.193,1.405,22.58
3.209,1.418,22.69
3.224,1.432,22.8
3.241,1.446,22.92
3.257,1.46,23.03
3.273,1.475,23.14
3.29,1.489,23.26
3.307,1.504,23.38
3.324,1.519,23.5
3.341,1.534,23.62
3.358,1.55,23.74
3.376,1.566,23.86
3.393,1.582,23.99
3.411,1.598,24.11
3.429,1.614,24.24
3.447,1.631,24.36
3.466,1.648,24.49
3.485,1.665,24.62
3.503,1.683,24.75
3.522,1.701,24.89
3.542,1.719,25.02
3.561,1.737,25.16
3.581,1.756,25.29
3.601,1.775,25.43
3.621,1.794,25.57
3.641,1.813,25.72
3.662,1.833,25.86
3.683,1.854,26
3.704,1.874,26.15
3.725,1.895,26.3
3.746,1.916,26.45
3.768,1.938,26.6
3.79,1.96,26.75
3.812,1.982,26.91
3.835,2.005,27.06
3.858,2.028,27.22
3.881,2.052,27.38
3.904,2.076,27.54
3.928,2.1,27.71
3.952,2.125,27.87
3.976,2.15,28.04
4.001,2.176,28.21
4.026,2.202,28.38
4.051,2.228,28.56
4.076,2.255,28.73
4.102,2.283,28.91
4.128,2.311,29.09
4.155,2.34,29.27
4.181,2.369,29.46
4.209,2.398,29.64
4.236,2.429,29.83
4.264,2.459,30.02
4.292,2.491,30.22
4.321,2.523,30.41
4.35,2.555,30.61
4.379,2.589,30.82
4.409,2.622,31.02
4.439,2.657,31.23
4.47,2.692,31.44
4.501,2.728,31.65
4.532,2.765,31.86
4.564,2.802,32.08
4.597,2.84,32.3
4.629,2.879,32.53
4.663,2.919,32.75
4.697,2.959,32.98
4.731,3,33.22
4.766,3.043,33.45
4.801,3.086,33.69
4.837,3.13,33.94
4.873,3.174,34.18
4.91,3.22,34.43
4.947,3.267,34.69
4.986,3.315,34.94
5.024,3.364,35.2
5.063,3.414,35.47
5.103,3.465,35.74
5.144,3.517,36.01
5.185,3.571,36.29
5.227,3.625,36.57
5.269,3.681,36.85
5.312,3.738,37.14
5.356,3.797,37.44
5.401,3.856,37.74
5.446,3.918,38.04
5.493,3.98,38.35
5.539,4.044,38.66
5.587,4.11,38.98
5.636,4.177,39.3
5.685,4.246,39.63
5.736,4.317,39.97
5.787,4.389,40.31
5.839,4.463,40.65
5.892,4.539,41
5.946,4.617,41.36
6.001,4.696,41.72
6.057,4.778,42.09
6.114,4.862,42.47
6.173,4.948,42.85
6.232,5.037,43.24
6.292,5.127,43.63
6.354,5.22,44.04
6.417,5.316,44.45
6.481,5.414,44.86
6.547,5.515,45.29
6.613,5.619,45.72
6.682,5.725,46.16
6.751,5.835,46.61
6.822,5.947,47.07
6.895,6.063,47.54
6.969,6.182,48.01
7.045,6.304,48.5
7.122,6.43,48.99
7.201,6.56,49.49
7.282,6.693,50.01
7.365,6.831,50.53
7.45,6.972,51.07
7.536,7.118,51.62
7.625,7.269,52.17
7.716,7.424,52.74
7.809,7.584,53.32
7.904,7.748,53.92
8.001,7.919,54.53
8.101,8.094,55.15
8.204,8.275,55.78
8.309,8.462,56.43
8.417,8.655,57.09
8.528,8.855,57.77
8.642,9.061,58.46
8.758,9.274,59.17
8.878,9.495,59.9
9.002,9.722,60.64
9.128,9.958,61.4
9.259,10.2,62.18
9.393,10.46,62.98
9.531,10.72,63.8
9.673,10.99,64.64
9.82,11.27,65.5
9.971,11.56,66.38
10.13,11.86,67.28
10.29,12.17,68.21
10.45,12.5,69.17
10.63,12.84,70.15
10.8,13.19,71.15
10.99,13.55,72.19
11.17,13.93,73.25
11.37,14.32,74.34
11.57,14.73,75.47
11.78,15.15,76.62
12,15.59,77.82
12.23,16.05,79.04
12.46,16.53,80.31
12.71,17.03,81.62
12.96,17.54,82.96
13.23,18.08,84.35
13.5,18.65,85.78
13.79,19.23,87.27
14.09,19.84,88.8
14.4,20.48,90.38
14.73,21.15,92.02
15.07,21.84,93.72
15.43,22.57,95.48
15.81,23.32,97.31
16.2,24.11,99.21
16.62,24.94,101.2
17.06,25.8,103.2
17.52,26.7,105.4
18,27.65,107.6
18.52,28.63,109.9
19.06,29.66,112.3
19.64,30.74,114.9
20.25,31.86,117.5
20.91,33.04,120.3
21.6,34.27,123.3
22.35,35.55,126.4
23.15,36.9,129.6
24,38.3,133.1
24.93,39.76,136.8
