"Wavelength, µm","n","k"
0.188,0.84,1.38
0.192,0.85,1.42
0.195,0.85,1.46
0.199,0.85,1.5
0.203,0.86,1.55
0.207,0.87,1.6
0.212,0.89,1.65
0.216,0.91,1.7
0.221,0.92,1.76
0.226,0.94,1.81
0.231,0.97,1.86
0.237,1,1.91
0.243,1.04,1.95
0.249,1.08,1.99
0.255,1.11,2.03
0.262,1.13,2.07
0.269,1.16,2.1
0.276,1.19,2.13
0.284,1.18,2.18
0.292,1.18,2.23
0.301,1.2,2.29
0.311,1.21,2.35
0.32,1.21,2.42
0.332,1.2,2.5
0.342,1.22,2.57
0.354,1.23,2.65
0.368,1.24,2.74
0.381,1.26,2.83
0.397,1.3,2.93
0.413,1.33,3.03
0.431,1.37,3.14
0.451,1.41,3.26
0.471,1.46,3.39
0.496,1.52,3.54
0.521,1.57,3.68
0.549,1.64,3.84
0.582,1.68,4.02
0.617,1.75,4.21
0.659,1.8,4.42
0.704,1.86,4.65
0.756,1.95,4.89
0.821,2.06,5.19
0.892,2.23,5.5
0.984,2.34,5.89
1.088,2.52,6.33
1.216,2.66,6.9
1.393,2.8,7.65
1.61,3.01,8.59
1.937,3.34,9.89
