Opt.,Const.,of,B-Spline,vs.,nm
Wavelength_(nm),n_5_gold,k_5_gold,n_20_Pd,k_20_Pd,n_MS_9_to_17,k_MS_9_to_17
210.000000,1.433437,1.295349,0.888004,1.569890,1.149250,1.568724,
211.000000,1.437299,1.295458,0.893035,1.578642,1.152140,1.580317,
212.000000,1.435293,1.296548,0.896134,1.587891,1.154130,1.591780,
213.000000,1.429526,1.301352,0.898168,1.598326,1.155687,1.603618,
214.000000,1.423371,1.311197,0.900201,1.610107,1.157456,1.615993,
215.000000,1.420474,1.324178,0.903094,1.622532,1.160000,1.628454,
216.000000,1.421183,1.337105,0.906789,1.634829,1.163228,1.640445,
217.000000,1.424305,1.348019,0.910970,1.646621,1.166822,1.651694,
218.000000,1.427811,1.356090,0.915220,1.657805,1.170354,1.662166,
219.000000,1.429932,1.362478,0.919265,1.668629,1.173526,1.672194,
220.000000,1.430630,1.368586,0.923130,1.679305,1.176385,1.682082,
221.000000,1.430461,1.375239,0.926895,1.689940,1.179069,1.692002,
222.000000,1.430385,1.382705,0.930671,1.700560,1.181767,1.702008,
223.000000,1.431105,1.390214,0.934517,1.711099,1.184607,1.711997,
224.000000,1.432353,1.396994,0.938410,1.721508,1.187583,1.721880,
225.000000,1.433515,1.402656,0.942309,1.731776,1.190658,1.731613,
226.000000,1.433658,1.407237,0.946162,1.741926,1.193781,1.741184,
227.000000,1.432061,1.411767,0.949949,1.752041,1.196914,1.750632,
228.000000,1.429055,1.417329,0.953722,1.762186,1.200065,1.759996,
229.000000,1.425380,1.424576,0.957552,1.772384,1.203255,1.769293,
230.000000,1.422089,1.433763,0.961517,1.782630,1.206512,1.778527,
231.000000,1.420311,1.444229,0.965686,1.792855,1.209860,1.787675,
232.000000,1.420200,1.454907,0.970058,1.802984,1.213291,1.796705,
233.000000,1.421455,1.465098,0.974613,1.812967,1.216789,1.805600,
234.000000,1.423585,1.474357,0.979328,1.822772,1.220328,1.814354,
235.000000,1.425934,1.482589,0.984177,1.832368,1.223885,1.822968,
236.000000,1.428108,1.490111,0.989123,1.841728,1.227443,1.831459,
237.000000,1.429995,1.497176,0.994120,1.850841,1.230994,1.839837,
238.000000,1.431550,1.503965,0.999117,1.859708,1.234529,1.848113,
239.000000,1.432748,1.510630,1.004060,1.868351,1.238041,1.856298,
240.000000,1.433589,1.517335,1.008907,1.876834,1.241526,1.864410,
241.000000,1.434142,1.524235,1.013676,1.885222,1.244987,1.872466,
242.000000,1.434514,1.531440,1.018401,1.893551,1.248434,1.880478,
243.000000,1.434834,1.539020,1.023124,1.901836,1.251878,1.888451,
244.000000,1.435261,1.546998,1.027896,1.910069,1.255330,1.896389,
245.000000,1.435929,1.555294,1.032744,1.918204,1.258801,1.904285,
246.000000,1.436887,1.563826,1.037659,1.926205,1.262293,1.912133,
247.000000,1.438156,1.572532,1.042626,1.934050,1.265804,1.919927,
248.000000,1.439749,1.581366,1.047625,1.941724,1.269336,1.927667,
249.000000,1.441666,1.590293,1.052636,1.949220,1.272888,1.935348,
250.000000,1.443916,1.599300,1.057642,1.956540,1.276457,1.942966,
251.000000,1.446527,1.608373,1.062632,1.963684,1.280041,1.950517,
252.000000,1.449534,1.617485,1.067592,1.970654,1.283635,1.958001,
253.000000,1.452981,1.626600,1.072513,1.977451,1.287233,1.965415,
254.000000,1.456931,1.635653,1.077385,1.984078,1.290832,1.972761,
