Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n7_and_18_MS,k7_and_18_MS,n6,k6,n8_drude,k7_drude,n19_B_spline,k19_B_SPline,n19_Drude,k19_Drude
210.000000,1.216914,1.454640,1.298938,1.405300,1.176397,1.387868,1.125034,1.455931,1.122819,1.426285,
211.000000,1.220061,1.464866,1.301977,1.411882,1.180325,1.393401,1.128030,1.462588,1.124285,1.438737,
212.000000,1.222260,1.474643,1.303126,1.418388,1.184248,1.398905,1.128313,1.470044,1.125859,1.451059,
213.000000,1.223816,1.484493,1.303033,1.425700,1.188167,1.404379,1.127135,1.479446,1.127537,1.463255,
214.000000,1.225192,1.494678,1.302668,1.434234,1.192080,1.409825,1.126204,1.491138,1.129313,1.475327,
215.000000,1.226846,1.505032,1.303009,1.443504,1.195989,1.415241,1.127053,1.503919,1.131184,1.487279,
216.000000,1.228839,1.515261,1.304140,1.452742,1.199892,1.420630,1.129557,1.516293,1.133145,1.499112,
217.000000,1.231091,1.525207,1.305785,1.461514,1.203789,1.425990,1.132985,1.527472,1.135193,1.510830,
218.000000,1.233468,1.534809,1.307485,1.469669,1.207682,1.431322,1.136314,1.537267,1.137322,1.522435,
219.000000,1.235854,1.544127,1.308879,1.477514,1.211568,1.436628,1.138816,1.546414,1.139531,1.533929,
220.000000,1.238228,1.553235,1.310017,1.485381,1.215449,1.441906,1.140620,1.555613,1.141814,1.545316,
221.000000,1.240596,1.562175,1.311082,1.493445,1.219325,1.447158,1.142088,1.565225,1.144169,1.556597,
222.000000,1.242972,1.570972,1.312346,1.501728,1.223194,1.452383,1.143724,1.575320,1.146594,1.567776,
223.000000,1.245361,1.579621,1.313983,1.509981,1.227058,1.457583,1.145847,1.585522,1.149084,1.578853,
224.000000,1.247742,1.588120,1.315906,1.517982,1.230916,1.462756,1.148375,1.595510,1.151637,1.589831,
225.000000,1.250084,1.596482,1.317942,1.525618,1.234767,1.467905,1.151120,1.605121,1.154251,1.600713,
226.000000,1.252343,1.604739,1.319853,1.532888,1.238613,1.473028,1.153829,1.614330,1.156923,1.611500,
227.000000,1.254501,1.612977,1.321460,1.540022,1.242452,1.478126,1.156327,1.623346,1.159650,1.622194,
228.000000,1.256603,1.621268,1.322820,1.547245,1.246285,1.483200,1.158663,1.632363,1.162431,1.632798,
229.000000,1.258713,1.629653,1.324066,1.554688,1.250112,1.488250,1.160952,1.641481,1.165262,1.643313,
230.000000,1.260915,1.638141,1.325380,1.562402,1.253933,1.493276,1.163345,1.650728,1.168143,1.653741,
231.000000,1.263290,1.646678,1.326948,1.570282,1.257747,1.498278,1.165984,1.659993,1.171070,1.664084,
232.000000,1.265845,1.655187,1.328789,1.578161,1.261555,1.503256,1.168866,1.669132,1.174042,1.674343,
233.000000,1.268563,1.663623,1.330853,1.585940,1.265356,1.508212,1.171931,1.678059,1.177058,1.684520,
234.000000,1.271417,1.671953,1.333062,1.593561,1.269150,1.513145,1.175107,1.686724,1.180115,1.694617,
235.000000,1.274373,1.680165,1.335316,1.601026,1.272939,1.518055,1.178304,1.695118,1.183211,1.704635,
236.000000,1.277405,1.688262,1.337569,1.608407,1.276720,1.522943,1.181464,1.703274,1.186346,1.714576,
237.000000,1.280498,1.696249,1.339832,1.615755,1.280495,1.527809,1.184549,1.711217,1.189518,1.724442,
238.000000,1.283635,1.704130,1.342130,1.623097,1.284263,1.532653,1.187524,1.718973,1.192725,1.734233,
239.000000,1.286797,1.711914,1.344499,1.630446,1.288024,1.537475,1.190351,1.726578,1.195965,1.743951,
240.000000,1.289970,1.719630,1.346975,1.637779,1.291779,1.542277,1.193001,1.734097,1.199238,1.753597,
241.000000,1.293165,1.727306,1.349562,1.645063,1.295527,1.547057,1.195490,1.741597,1.202542,1.763174,
242.000000,1.296404,1.734958,1.352250,1.652279,1.299268,1.551816,1.197855,1.749121,1.205876,1.772681,
243.000000,1.299714,1.742590,1.355028,1.659412,1.303002,1.556555,1.200138,1.756694,1.209239,1.782121,
244.000000,1.303131,1.750191,1.357878,1.666455,1.306729,1.561273,1.202392,1.764320,1.212630,1.791494,
245.000000,1.306676,1.757718,1.360787,1.673413,1.310450,1.565971,1.204652,1.771963,1.216047,1.800802,
246.000000,1.310334,1.765130,1.363750,1.680291,1.314163,1.570649,1.206914,1.779589,1.219489,1.810046,
247.000000,1.314080,1.772406,1.366766,1.687090,1.317870,1.575308,1.209164,1.787185,1.222957,1.819227,
248.000000,1.317885,1.779531,1.369834,1.693812,1.321569,1.579947,1.211383,1.794743,1.226447,1.828346,
249.000000,1.321714,1.786508,1.372956,1.700454,1.325262,1.584566,1.213545,1.802272,1.229960,1.837404,
