Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n_21,k_21,n22,k22,n23,k23,n124,k124,n_Pd_model,k_Pd_model
210.000000,1.485056,1.218382,1.470651,1.156653,1.514726,1.091646,1.526717,0.881789,1.629531,
211.000000,1.493005,1.218449,1.486938,1.156994,1.524245,1.092999,1.537993,0.886119,1.640335,
212.000000,1.501173,1.220543,1.501523,1.157541,1.534102,1.094447,1.549175,0.890449,1.651127,
213.000000,1.509828,1.223656,1.513837,1.158468,1.544709,1.096063,1.560307,0.894926,1.662359,
214.000000,1.519211,1.226501,1.523842,1.159938,1.556436,1.097914,1.571431,0.899384,1.673517,
215.000000,1.529219,1.227933,1.532602,1.161946,1.569166,1.100036,1.582561,0.903821,1.684601,
216.000000,1.539263,1.228085,1.541400,1.164244,1.582101,1.102424,1.593681,0.908238,1.695614,
217.000000,1.548758,1.227592,1.550950,1.166569,1.594445,1.105066,1.604771,0.911184,1.707300,
218.000000,1.557196,1.227375,1.561450,1.168686,1.605497,1.107949,1.615808,0.913167,1.719404,
219.000000,1.564696,1.228099,1.572234,1.170590,1.615273,1.110983,1.626679,0.915163,1.731433,
220.000000,1.571902,1.229619,1.582654,1.172484,1.624376,1.114015,1.637195,0.917171,1.743387,
221.000000,1.579432,1.231555,1.592385,1.174568,1.633390,1.116899,1.647182,0.919190,1.755268,
222.000000,1.587823,1.233374,1.601400,1.177018,1.642830,1.119511,1.656495,0.922471,1.766198,
223.000000,1.596985,1.234745,1.610152,1.179804,1.652736,1.121919,1.665291,0.926575,1.776479,
224.000000,1.606390,1.235788,1.619034,1.182745,1.662812,1.124328,1.673937,0.930662,1.786703,
225.000000,1.615530,1.236753,1.628249,1.185666,1.672778,1.126935,1.682777,0.934733,1.796869,
226.000000,1.623959,1.237983,1.637824,1.188410,1.682379,1.129918,1.692119,0.938787,1.806978,
227.000000,1.631674,1.239722,1.647473,1.190992,1.691580,1.133274,1.701940,0.944257,1.817082,
228.000000,1.639076,1.241908,1.656921,1.193580,1.700532,1.136839,1.711925,0.950305,1.827153,
229.000000,1.646552,1.244391,1.666013,1.196337,1.709384,1.140455,1.721772,0.956315,1.837168,
230.000000,1.654463,1.246972,1.674689,1.199415,1.718274,1.143970,1.731202,0.962289,1.847130,
231.000000,1.662921,1.249455,1.683048,1.202850,1.727253,1.147322,1.740107,0.968226,1.857038,
232.000000,1.671627,1.251806,1.691240,1.206485,1.736239,1.150587,1.748650,0.973669,1.866105,
233.000000,1.680261,1.254047,1.699358,1.210153,1.745141,1.153851,1.757013,0.978887,1.874793,
234.000000,1.688525,1.256223,1.707456,1.213700,1.753874,1.157197,1.765364,0.984078,1.883440,
235.000000,1.696195,1.258392,1.715554,1.217006,1.762375,1.160684,1.773833,0.989242,1.892048,
236.000000,1.703384,1.260584,1.723627,1.220103,1.770666,1.164277,1.782380,0.994379,1.900618,
237.000000,1.710307,1.262800,1.731662,1.223075,1.778793,1.167909,1.790909,0.999490,1.909149,
238.000000,1.717170,1.265038,1.739654,1.225999,1.786801,1.171517,1.799334,1.006635,1.916592,
239.000000,1.724161,1.267295,1.747598,1.228948,1.794731,1.175044,1.807571,1.013965,1.923896,
240.000000,1.731372,1.269564,1.755499,1.231954,1.802611,1.178473,1.815599,1.021252,1.931176,
241.000000,1.738750,1.271844,1.763359,1.234992,1.810450,1.181849,1.823482,1.028497,1.938434,
242.000000,1.746231,1.274134,1.771182,1.238033,1.818254,1.185220,1.831286,1.035699,1.945670,
243.000000,1.753756,1.276436,1.778969,1.241049,1.826028,1.188630,1.839076,1.042537,1.952520,
244.000000,1.761270,1.278749,1.786721,1.244017,1.833780,1.192120,1.846908,1.048858,1.958808,
245.000000,1.768772,1.281072,1.794433,1.246942,1.841519,1.195668,1.854783,1.055148,1.965080,
246.000000,1.776297,1.283399,1.802104,1.249854,1.849257,1.199205,1.862656,1.061407,1.971334,
247.000000,1.783880,1.285719,1.809736,1.252784,1.857008,1.202665,1.870485,1.067635,1.977573,
248.000000,1.791554,1.288022,1.817332,1.255759,1.864781,1.205987,1.878231,1.073832,1.983795,
249.000000,1.799346,1.290293,1.824907,1.258801,1.872587,1.209118,1.885859,1.080000,1.990000,
250.000000,1.807238,1.292529,1.832490,1.261897,1.880415,1.212080,1.893382,1.084972,1.996611,
251.000000,1.815179,1.294747,1.840104,1.265009,1.888246,1.214949,1.900842,1.089922,2.003200,
252.000000,1.823123,1.296970,1.847762,1.268099,1.896059,1.217795,1.908281,1.094851,2.009768,
253.000000,1.831025,1.299225,1.855468,1.271133,1.903835,1.220687,1.915737,1.099759,2.016316,
254.000000,1.838844,1.301547,1.863210,1.274080,1.911557,1.223686,1.923244,1.104647,2.022843,
255.000000,1.846576,1.303957,1.870949,1.276938,1.919223,1.226798,1.930805,1.109514,2.029350,
256.000000,1.854253,1.306444,1.878647,1.279738,1.926843,1.229973,1.938388,1.112791,2.035585,
257.000000,1.861907,1.308983,1.886283,1.282510,1.934429,1.233161,1.945963,1.115883,2.041773,
258.000000,1.869568,1.311547,1.893846,1.285283,1.941991,1.236312,1.953501,1.118967,2.047942,
259.000000,1.877263,1.314099,1.901335,1.288084,1.949540,1.239384,1.960974,1.122043,2.054093,
260.000000,1.885012,1.316605,1.908782,1.290931,1.957084,1.242351,1.968369,1.125110,2.060226,
261.000000,1.892804,1.319063,1.916230,1.293824,1.964629,1.245244,1.975707,1.128169,2.066340,
262.000000,1.900622,1.321491,1.923708,1.296759,1.972183,1.248101,1.983011,1.131661,2.071653,
263.000000,1.908453,1.323915,1.931232,1.299731,1.979751,1.250960,1.990307,1.135805,2.075782,
264.000000,1.916284,1.326360,1.938809,1.302738,1.987339,1.253853,1.997615,1.139936,2.079903,
265.000000,1.924101,1.328863,1.946433,1.305776,1.994951,1.256812,2.004956,1.144055,2.084018,
266.000000,1.931898,1.331447,1.954073,1.308836,2.002579,1.259841,2.012328,1.148161,2.088126,
267.000000,1.939678,1.334107,1.961696,1.311911,2.010203,1.262920,2.019709,1.152255,2.092227,
268.000000,1.947441,1.336831,1.969284,1.314988,2.017805,1.266026,2.027076,1.156337,2.096321,
269.000000,1.955190,1.339605,1.976824,1.318061,2.025366,1.269141,2.034410,1.160421,2.100419,
270.000000,1.962927,1.342409,1.984311,1.321118,2.032868,1.272244,2.041689,1.164626,2.104607,
271.000000,1.970652,1.345222,1.991747,1.324154,2.040298,1.275319,2.048899,1.168817,2.108787,
272.000000,1.978362,1.348031,1.999152,1.327170,2.047662,1.278362,2.056044,1.172997,2.112961,
273.000000,1.986049,1.350837,2.006539,1.330175,2.054981,1.281381,2.063143,1.177163,2.117128,
274.000000,1.993708,1.353647,2.013919,1.333177,2.062274,1.284380,2.070214,1.181317,2.121287,
275.000000,2.001332,1.356467,2.021297,1.336185,2.069559,1.287364,2.077276,1.185458,2.125440,
276.000000,2.008915,1.359304,2.028676,1.339205,2.076853,1.290341,2.084343,1.189588,2.129586,
277.000000,2.016451,1.362169,2.036055,1.342244,2.084172,1.293313,2.091430,1.188875,2.135454,
278.000000,2.023946,1.365068,2.043427,1.345304,2.091513,1.296283,2.098539,1.187637,2.141504,
279.000000,2.031412,1.368002,2.050784,1.348384,2.098859,1.299249,2.105655,1.186412,2.147545,
280.000000,2.038864,1.370967,2.058121,1.351479,2.106195,1.302210,2.112767,1.185198,2.153576,
281.000000,2.046315,1.373962,2.065435,1.354587,2.113505,1.305165,2.119862,1.183997,2.159598,
282.000000,2.053775,1.376984,2.072724,1.357706,2.120773,1.308112,2.126930,1.182807,2.165610,
283.000000,2.061257,1.380029,2.079986,1.360834,2.127987,1.311051,2.133961,1.181629,2.171613,
284.000000,2.068765,1.383093,2.087222,1.363969,2.135138,1.313982,2.140947,1.180463,2.177606,
285.000000,2.076293,1.386176,2.094434,1.367112,2.142227,1.316914,2.147891,1.179983,2.183781,
286.000000,2.083827,1.389276,2.101623,1.370266,2.149259,1.319854,2.154797,1.179962,2.190071,
287.000000,2.091361,1.392393,2.108789,1.373430,2.156237,1.322811,2.161669,1.179948,2.196347,
